numericId,fr,newName,uploads,count,profileUrl
2508,"Abdelbacet Abdelbacet","Abdelbacet B",16,15,https://examanet.com/fr/professeurs/2508
915,"Salhi Salhi","Salhi Mohamed",4,5,https://examanet.com/fr/professeurs/915
922,"Lajili Lajili","Lajili Mourad",1,5,https://examanet.com/fr/professeurs/922
941,"Aloui Aloui","ALOUi Amine",1,3,https://examanet.com/fr/professeurs/941
927,"messaoudi messaoudi","Mohsen MESSAOUDI",3,6,https://examanet.com/fr/professeurs/927
933,"Elassaad Elassaad","Elassaad Elharbaoui",3,3,https://examanet.com/fr/professeurs/933
1009,"Mkaouar Mkaouar","Mme MKAOUAR LAILA",7,10,https://examanet.com/fr/professeurs/1009
987,"Hadded Hadded","M. Hadded.S",3,6,https://examanet.com/fr/professeurs/987
993,"alouini alouini","Alouini H",21,10,https://examanet.com/fr/professeurs/993
1058,"Khalfalli Khalfalli","Khalfalli Noureddine",2,7,https://examanet.com/fr/professeurs/1058
1059,"Labidi Labidi","Mr.LABIDI NOUREDDINE",3,10,https://examanet.com/fr/professeurs/1059
1110,"Bradai Bradai","BRADAI Ilyes",1,6,https://examanet.com/fr/professeurs/1110
1113,"Ghaith Ghaith","Ghaith Ammar",2,6,https://examanet.com/fr/professeurs/1113
1082,"Chamam Chamam","Mr. Chamam",5,15,https://examanet.com/fr/professeurs/1082
1173,"soltani soltani","Soltani Abdeljalil",1,6,https://examanet.com/fr/professeurs/1173
1178,"Houda Houda","Mme Abich Ben amor",4,5,https://examanet.com/fr/professeurs/1178
1306,"amina amina","Mme CHOUCHANE YOSR",3,10,https://examanet.com/fr/professeurs/1306
961,"ghanem ghanem","Soudani Sami",1,1,https://examanet.com/fr/professeurs/961
1360,"Gassoumi Gassoumi","Gassoumi tarek",4,5,https://examanet.com/fr/professeurs/1360
965,"Khiari Khiari","Khiari Med",1,3,https://examanet.com/fr/professeurs/965
974,"Elajmi Elajmi","Mr Elajmi Med",2,3,https://examanet.com/fr/professeurs/974
1412,"abdallah abdallah","Abdallah Raouafi",1,3,https://examanet.com/fr/professeurs/1412
1566,"Aïssa Aïssa","Aïssa Ismaël",6,18,https://examanet.com/fr/professeurs/1566
1140,"Riadh Riadh","Riadh KOUBAA",1,3,https://examanet.com/fr/professeurs/1140
1145,"Boukraa Boukraa","Boukraa Walid",1,3,https://examanet.com/fr/professeurs/1145
1148,"zayneb zayneb","Zayneb Mdada",1,3,https://examanet.com/fr/professeurs/1148
1631,"dahmani dahmani","Dahmani Tarek",1,3,https://examanet.com/fr/professeurs/1631
1577,"khawla khawla","Khawla Amri",1,3,https://examanet.com/fr/professeurs/1577
1635,"Jaballah Jaballah","Jaballah Med Amine",1,3,https://examanet.com/fr/professeurs/1635
1838,"essefi essefi","Fadhila et sa belle-fille Zayneb ont d",1,1,https://examanet.com/fr/professeurs/1838
1841,"deymi deymi","DEYMI H",1,3,https://examanet.com/fr/professeurs/1841
1691,"Manita Manita","Manita Houda",1,3,https://examanet.com/fr/professeurs/1691
1844,"Zriba Zriba","Anis ZRIBA",2,3,https://examanet.com/fr/professeurs/1844
1849,"Zribi Zribi","ZRIBI CHEKER",1,5,https://examanet.com/fr/professeurs/1849
1856,"Yaakoubi Yaakoubi","اسم الأستاذ",2,3,https://examanet.com/fr/professeurs/1856
1913,"Touzri Touzri","اسم الأستاذ",4,3,https://examanet.com/fr/professeurs/1913
2009,"alaa alaa","الأستاذة الإء",1,3,https://examanet.com/fr/professeurs/2009
1606,"sarah sarah","Sarah Sallami",1,3,https://examanet.com/fr/professeurs/1606
