numericId,firstName,lastName,firstNameAr,lastNameAr,profileUrl,note
427,"Moussa","Riadh",,,https://examanet.com/fr/professeurs/427,firstNameAr is Latin: "Moussa"; lastNameAr is Latin: "Riadh"
105,"Belaifa","Mohamed Fadhel",,,https://examanet.com/fr/professeurs/105,firstNameAr is Latin: "Belaifa"; lastNameAr is Latin: "Mohamed Fadhel"
443,"Elhmidi","Fethi",,,https://examanet.com/fr/professeurs/443,firstNameAr is Latin: "Elhmidi"; lastNameAr is Latin: "Fethi"
453,"Akrimi","Mohamed Hédi",,,https://examanet.com/fr/professeurs/453,firstNameAr is Latin: "Akrimi"
448,"Smiti","Moez",,,https://examanet.com/fr/professeurs/448,firstNameAr is Latin: "Smiti"; lastNameAr is Latin: "Moez"
110,"Saber","Souidki",,,https://examanet.com/fr/professeurs/110,firstNameAr is Latin: "Saber"; lastNameAr is Latin: "Souidki"
111,"Hanen","Othmani",,,https://examanet.com/fr/professeurs/111,firstNameAr is Latin: "Hanen"; lastNameAr is Latin: "Othmani"
454,"Rim","Hadded",,,https://examanet.com/fr/professeurs/454,firstNameAr is Latin: "Rim"; lastNameAr is Latin: "Hadded"
455,"Hadi","Akrimi",,,https://examanet.com/fr/professeurs/455,firstNameAr is Latin: "Hadi"; lastNameAr is Latin: "Akrimi"
382,"Mohamed","Khairedine",,,https://examanet.com/fr/professeurs/382,firstNameAr is Latin: "Mohamed"; lastNameAr is Latin: "Khairedine"
128,"khoudi","mohsen",,,https://examanet.com/fr/professeurs/128,firstNameAr is Latin: "khoudi"; lastNameAr is Latin: "mohsen"
467,"Webri","Kamel",,,https://examanet.com/fr/professeurs/467,firstNameAr is Latin: "Webri"; lastNameAr is Latin: "Kamel"
480,"Maouia","Hammouda",,,https://examanet.com/fr/professeurs/480,firstNameAr is Latin: "Maouia"; lastNameAr is Latin: "Hammouda"
463,"Park","Park",,,https://examanet.com/fr/professeurs/463,firstNameAr is Latin: "Park"; lastNameAr is Latin: "Park"
407,"chaabani","hamadi",,,https://examanet.com/fr/professeurs/407,firstNameAr is Latin: "chaabani"; lastNameAr is Latin: "hamadi"
405,"Mohamed","Ben Amara",,,https://examanet.com/fr/professeurs/405,firstNameAr is Latin: "Mohamed"; lastNameAr is Latin: "Ben Amara"
459,"boumnigel","soufien",,,https://examanet.com/fr/professeurs/459,firstNameAr is Latin: "boumnigel"; lastNameAr is Latin: "soufien"
478,"khadraoui","hsan",,,https://examanet.com/fr/professeurs/478,firstNameAr is Latin: "khadraoui"; lastNameAr is Latin: "hsan"
